iter	Passed	Remaining
0	0	91
1	1	83
2	2	77
3	2	70
4	3	68
5	4	67
6	4	65
7	5	67
8	6	67
9	7	66
10	8	65
11	8	64
12	9	63
13	10	63
14	11	62
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	53
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	36
49	35	35
50	36	35
51	37	34
52	38	34
53	39	33
54	40	33
55	42	33
56	45	34
57	46	34
58	47	33
59	48	32
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	63	22
74	63	21
75	65	20
76	66	19
77	67	18
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	86	3
96	87	2
97	88	1
98	90	0
99	91	0
